id,teamId,teamRank,teamTotal,shard,dbnos,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
6,10,1,16,steam,7,3,6,739.284,alive,0,4,3,2,5,57.9878,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,2,3415.11,0,0.0,0,1863,1,1993.04,6,1,WeapMk12_C
18,7,1,16,steam,4,5,12,779.303,alive,2,3,1,2,7,118.548,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,1,4596.02,0,0.0,0,1686,0,2431.82,10,1,WeapMk12_C
10,3,1,15,steam,5,1,12,1111.73,alive,0,5,1,2,7,203.579,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,1,3253.55,0,0.0,0,1716,0,1611.57,8,1,WeapMk12_C
14,8,1,17,steam,3,3,18,939.962,alive,1,9,2,2,5,112.751,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,3,2556.0,0,0.0,0,1801,0,2622.64,7,1,WeapMk12_C
15,12,1,17,steam,9,5,15,1154.21,alive,3,3,1,2,10,214.537,TAEIL-H-,account.2e3e35371b9c461d93144a1af9e18d0c,1,7041.27,0,0.0,0,1841,1,1432.29,10,1,WeapMk12_C
50,14,1,16,steam,2,2,14,617.841,alive,1,1,2,1,5,329.693,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,1,1303.23,0,0.0,0,1658,0,1705.42,7,1,WeapMini14_C
47,4,1,16,steam,5,1,12,742.183,alive,2,1,2,2,5,188.527,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,1,3859.02,0,0.0,0,1781,0,2110.68,7,1,WeapMini14_C
43,18,1,19,steam,7,3,12,761.455,alive,1,7,1,1,6,142.095,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,1,6268.08,0,0.0,0,1834,0,1460.7,8,1,WeapKar98k_C
48,3,1,15,steam,5,0,13,667.134,alive,1,0,4,1,4,167.65,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,0,6180.1,0,0.0,1,1837,0,2472.02,5,1,WeapHK416_C
42,6,1,16,steam,4,2,8,700.167,alive,1,4,2,2,6,176.482,HUYA-383907BMZ,account.c66b1886b8274a2a9c05936e4a456593,2,5870.0,0,0.0,0,1819,0,2062.55,5,1,WeapFNFal_C
43,16,1,16,steam,4,3,12,563.911,alive,2,8,4,1,5,235.407,mantoubuxiaole,account.96492773211a4c43adf5dcc93378ec9c,0,2095.69,0,47.419,0,1435,0,2103.41,4,1,WeapMini14_C
40,9,1,17,steam,4,8,9,997.734,alive,2,5,1,2,6,516.318,mantoubuxiaole,account.96492773211a4c43adf5dcc93378ec9c,2,5326.71,0,0.0,0,1670,1,1948.1,5,1,WeapMini14_C
42,3,1,19,steam,4,1,5,426.834,alive,0,1,2,2,5,403.676,Mars_Kzzzzzz,account.ab56e1e1d76241748bb274b883f92f00,0,971.704,0,0.0,0,1568,0,890.826,3,1,WeapKar98k_C
46,17,1,17,steam,8,1,5,890.543,alive,5,3,1,2,7,193.144,Mars_Kzzzzzz,account.ab56e1e1d76241748bb274b883f92f00,1,8247.54,1,0.0,0,1763,0,1940.05,7,1,WeapGroza_C
39,13,1,16,steam,3,3,7,545.339,alive,1,3,3,1,4,193.795,GXFC_KongBa1,account.8c1ecbadbf6e4e69be20d1bd2d40688e,1,1629.24,0,0.0,0,1684,1,2702.2,6,1,WeapMini14_C
35,5,1,16,steam,2,6,10,428.32,alive,0,5,15,1,1,299.914,2SimLMT,account.993c4caff4934b6e896d489940e5c9ca,0,4880.05,0,0.0,0,1695,0,2192.38,4,1,WeapMk12_C
38,13,1,16,steam,2,4,8,879.067,alive,0,1,9,1,2,152.974,2SimLMT,account.993c4caff4934b6e896d489940e5c9ca,0,4284.13,0,0.0,0,1913,0,1359.57,2,1,WeapMk12_C
35,13,1,18,steam,4,0,9,760.041,alive,0,1,5,1,3,63.4821,2SimLMT,account.993c4caff4934b6e896d489940e5c9ca,1,5755.5,0,0.0,0,1859,0,2263.59,4,1,WeapHK416_C
33,13,1,16,steam,1,5,10,646.022,alive,1,7,14,1,1,22.4891,2SimLMT,account.993c4caff4934b6e896d489940e5c9ca,0,3311.33,0,0.0,0,811,2,1447.68,6,1,WeapMk12_C
38,12,1,17,steam,9,2,8,781.015,alive,4,3,1,1,6,308.168,2SimLMT,account.993c4caff4934b6e896d489940e5c9ca,0,3079.34,0,0.0,0,1826,0,1684.59,5,1,WeapMk12_C
49,6,1,16,steam,11,1,5,1294.28,alive,2,3,2,1,7,207.912,Sjy-_-i77,account.c11bf7d442c3458dbd0f3c24a848229e,1,6217.88,0,0.0,0,1678,0,1388.88,4,1,WeapMini14_C
38,9,1,14,steam,3,3,3,621.394,alive,0,0,4,1,4,88.1054,Sjy-_-i77,account.c11bf7d442c3458dbd0f3c24a848229e,0,8144.94,0,0.0,0,1437,0,941.454,3,1,WeapMini14_C
42,16,1,16,steam,4,4,10,442.666,alive,3,6,3,1,5,300.059,NiKe_oO,account.9507d06fb0d64722aa0a5edaeece55d7,5,2137.27,0,41.7542,0,1826,1,3034.42,6,1,WeapFNFal_C
39,9,1,17,steam,3,5,9,350.947,alive,0,7,4,1,4,510.138,NiKe_oO,account.9507d06fb0d64722aa0a5edaeece55d7,2,5395.59,0,0.0,0,1670,0,1793.22,4,1,WeapMini14_C
10,4,1,17,steam,4,4,8,629.008,alive,0,3,3,2,5,65.784,JH_yyyyyyy,account.1df4c7c16aaa4c579ba85723fc77deb1,1,7110.17,0,0.0,0,1814,0,1724.3,8,1,WeapMk14_C
7,11,1,18,steam,4,5,4,917.477,alive,0,2,2,2,6,192.003,JH_yyyyyyy,account.1df4c7c16aaa4c579ba85723fc77deb1,2,4792.81,0,0.0,0,1695,0,1514.5,8,1,WeapFNFal_C
13,7,1,16,steam,7,1,6,568.513,alive,1,1,2,2,8,474.45,JH_yyyyyyy,account.1df4c7c16aaa4c579ba85723fc77deb1,2,4023.95,0,0.0,0,1247,0,1420.75,6,1,WeapSKS_C
11,10,1,17,steam,4,2,11,578.212,alive,2,5,3,2,5,80.5404,JH_yyyyyyy,account.1df4c7c16aaa4c579ba85723fc77deb1,1,3299.53,0,0.0,0,1787,0,1782.92,6,1,WeapFNFal_C
58,5,1,15,steam,5,6,16,987.898,alive,0,4,4,1,4,54.4534,Amm_CaiBaonini,account.fb668492dd9040e6bc910946440c34da,2,2056.22,0,0.0,0,1839,0,3967.33,7,1,WeapMk14_C
59,7,1,15,steam,7,2,12,1040.45,alive,1,1,1,2,6,313.286,Amm_CaiBaonini,account.fb668492dd9040e6bc910946440c34da,4,3500.67,0,0.0,0,1644,0,2748.14,4,1,WeapMini14_C
58,18,1,19,steam,5,2,7,823.09,alive,1,2,3,1,5,181.264,Amm_CaiBaonini,account.fb668492dd9040e6bc910946440c34da,1,315.429,0,0.0,0,1856,0,1782.74,5,1,WeapMini14_C
59,17,1,18,steam,1,6,10,375.288,alive,0,4,14,1,1,21.6605,Amm_CaiBaonini,account.fb668492dd9040e6bc910946440c34da,0,2334.76,0,0.0,0,1147,0,1786.54,7,1,WeapBerylM762_C
53,14,1,18,steam,2,1,9,674.345,alive,2,1,3,1,4,269.708,y_wonjun,account.df0f1013224d43b0968204f568cd44c9,1,5800.7,0,0.0,0,1732,0,1829.68,5,1,WeapMk12_C
54,15,1,16,steam,5,0,2,819.432,alive,2,1,1,2,7,249.876,y_wonjun,account.df0f1013224d43b0968204f568cd44c9,1,8831.41,0,0.0,0,1639,0,1176.21,4,1,WeapSKS_C
50,12,1,18,steam,1,2,5,465.385,alive,0,0,13,1,1,6.65288,y_wonjun,account.df0f1013224d43b0968204f568cd44c9,0,3041.98,0,0.0,0,1440,1,1217.04,8,1,WeapAWM_C
34,8,1,15,steam,2,1,7,447.517,alive,1,2,2,2,5,661.594,Diiao_,account.950a850b3d55455a9ffd455ad953e2f7,0,3171.56,0,0.0,0,1373,0,1579.37,4,1,WeapHK416_C
