teamTotal,DBNOs,assists,boosts,damageDealt,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
17,3,0,2,323.245,0,0,14,2,2,108.872,0,686.987,0,0.0,0,485,0,906.997,4,15,WeapHK416_C
16,0,0,0,0.0,0,0,46,0,0,0.0,0,4490.64,0,0.0,0,1219,0,728.263,3,11,
16,2,2,2,385.375,0,0,4,2,4,55.1049,0,3110.67,0,0.0,0,953,0,937.787,7,14,WeapBerylM762_C
16,2,0,10,216.052,1,4,12,1,2,10.8694,1,3637.62,0,0.0,0,1285,0,2113.69,6,8,WeapMini14_C
18,1,2,5,465.385,0,0,13,1,1,6.65288,0,3041.98,0,0.0,0,1440,1,1217.04,8,1,WeapAWM_C
15,1,3,8,710.519,0,3,22,1,1,84.0105,0,6515.9,0,0.0,0,1605,2,899.466,8,7,WeapMk12_C
16,2,1,5,486.904,3,2,4,1,4,37.9506,0,2662.0,0,0.0,0,1927,0,1557.76,7,2,WeapFNFal_C
15,1,0,0,75.0,0,0,57,0,0,0.0,0,0.0,0,0.0,0,145,0,159.941,3,15,WeapUZI_C
17,0,1,3,173.436,0,3,35,0,0,0.0,0,4478.09,0,0.0,0,1586,0,1993.26,4,5,WeapBerylM762_C
17,1,0,2,200.0,1,1,17,1,2,31.9742,2,4525.85,0,0.0,0,1126,0,769.466,5,4,WeapHK416_C
17,0,0,0,0.0,0,0,58,0,0,0.0,0,0.0,0,0.0,0,235,0,8.57288,1,17,
17,8,5,1,1007.69,0,0,5,2,5,84.7503,2,4161.24,0,0.0,0,1406,0,1910.0,6,6,WeapMini14_C
19,3,2,4,450.192,4,1,2,2,5,145.385,0,3930.4,0,0.0,0,1728,0,2357.58,4,3,WeapHK416_C
16,0,0,0,29.04,0,0,61,0,0,0.0,0,0.0,0,0.0,0,193,0,106.362,1,16,WeapBerylM762_C
17,2,0,3,370.436,0,2,13,1,2,23.0109,0,5104.45,0,0.0,0,1303,0,1057.0,7,13,WeapFNFal_C
17,3,6,7,513.778,0,7,8,1,2,199.531,2,6211.01,0,0.0,0,1269,0,1471.39,11,2,WeapGroza_C
20,0,0,0,610.153,0,0,8,0,0,0.0,0,0.0,0,0.0,0,617,0,0.0,0,19,WeapHK416_C
16,0,0,0,0.0,0,0,52,0,0,0.0,0,2844.24,0,0.0,0,441,0,427.59,2,14,
16,1,3,9,493.543,2,0,4,1,4,82.0771,0,1601.37,0,0.0,0,1684,0,2788.1,7,1,WeapHK416_C
17,4,2,6,743.369,0,2,10,1,2,184.566,2,5364.86,0,0.0,0,1818,0,2080.36,5,2,WeapMini14_C
16,3,2,11,373.085,1,0,5,2,4,167.523,0,5120.07,0,0.0,0,1459,0,2174.53,8,1,WeapMk14_C
16,6,3,7,902.969,4,2,3,2,5,200.714,1,6955.06,0,0.0,0,1520,0,1494.55,8,1,WeapKar98k_C
16,0,4,6,458.297,1,0,7,1,2,179.341,2,3686.61,0,0.0,0,1777,0,1869.68,7,1,WeapSKS_C
16,0,0,1,80.37,0,0,59,0,0,0.0,0,0.0,0,0.0,0,243,0,167.497,3,16,WeapAK47_C
15,1,2,6,156.739,0,8,13,1,2,11.2799,0,4753.24,0,0.0,0,1157,0,1571.31,4,8,WeapMk12_C
16,5,0,7,696.18,3,9,2,2,6,172.988,0,4364.23,0,0.0,0,1815,0,1051.14,5,2,WeapFNFal_C
17,10,1,1,1312.79,3,2,1,2,9,287.22,1,6093.54,0,0.0,0,1368,0,2158.93,4,5,WeapMini14_C
17,3,0,3,389.258,4,0,4,4,4,40.6587,0,3962.08,0,0.0,0,517,0,549.268,5,13,WeapHK416_C
15,3,3,17,841.34,1,8,2,1,4,372.88,0,5985.07,0,0.0,0,1740,0,1986.65,7,1,WeapFNFal_C
16,2,3,8,270.04,0,3,15,1,1,5.34048,0,5123.85,0,4.32075,0,1758,0,2011.11,6,1,WeapAWM_C
16,5,3,4,536.316,1,3,1,2,5,283.815,1,7565.85,0,0.0,0,1490,0,1445.57,8,2,WeapBerylM762_C
17,0,0,1,55.44,0,0,45,0,0,0.0,0,1793.52,0,0.0,0,669,0,471.881,5,13,WeapAUG_C
15,0,2,3,394.267,0,2,44,0,0,0.0,0,427.197,0,0.0,0,628,0,875.838,7,11,WeapAK47_C
18,2,2,2,634.437,2,1,3,3,6,339.354,1,6461.02,0,0.0,0,1370,0,1108.36,4,5,WeapFNFal_C
17,1,5,13,611.261,0,6,4,1,4,130.988,1,2369.66,0,0.0,0,1783,0,2482.21,8,1,WeapMini14_C
17,1,0,0,100.0,0,0,55,0,0,0.0,0,0.0,0,0.0,0,197,0,119.338,2,17,WeapK2_C
49,0,2,3,183.431,0,2,12,1,2,8.69682,1,0.0,0,0.0,0,824,0,1675.92,4,1,WeapBerylM762_C
